"","CBF","cbv","cmr02","cmruglu","G1.fMRI","intersubjvar","meg_alpha","meg_beta","meg_delta","meg_gamma1","meg_gamma2","meg_theta"
"lh_AIP",5936.27547121511,4118.60363413987,5410.08601809011,6731.41946677791,-1.97600986994803,0.630843424681321,0.344153855032134,0.118922520971414,0.269455952841101,0.0185748068887053,0.00766256910034464,0.241230293819048
"lh_EC",4686.44404296875,4475.04319893973,3693.76335797991,4232.83080357143,2.95784501348223,0.542971089908055,0.239180805853435,0.0651857190898487,0.274454597064427,0.0179435802357537,0.0124287583466087,0.190806535312108
"lh_PreS",3932.7058151533,3643.18216575767,3083.01949900501,3451.07778412441,1.00038835462534,0.393394750244213,0.223564290213135,0.0601572647409619,0.22235132894426,0.0155543356712134,0.0104235599063477,0.166062429828464
"lh_H",0,0,0,0,0,0,0,0,0,0,0,0
"lh_ProS",5637.97447916667,5535.64309895833,5240.54861111111,5941.96394314236,-3.73651395638784,0.55550594859653,0.337465837928984,0.0857630787624253,0.31216520998213,0.0187114636103312,0.0109249051246378,0.23496950533655
"lh_PeEc",4887.19119064529,4431.46724076705,3886.44409496753,4514.89104035613,-0.0383448723897144,0.5783747891327,0.243685089148484,0.0685124262780338,0.297103768819338,0.0193091927507481,0.013784110171164,0.201761258306441
"lh_STGa",4898.27120535714,5620.68870907738,4268.00747535342,4808.27646019345,1.43072545812244,0.603849604016259,0.249314836802937,0.0830292236946878,0.370652197372346,0.0249390448665335,0.0175097461878544,0.254554950055622
"lh_PBelt",6079.28886510971,5326.43859084109,5510.69203997673,6414.31894115691,-3.4776913764629,0.586958526296819,0.335830788663093,0.0881801214306912,0.303817529627617,0.0171693573368991,0.0100972509368303,0.24490494835884
"lh_A5",5469.08701578776,4840.369140625,5029.50729370117,5808.19801839193,-1.72642696710924,0.606747535367807,0.314079182843367,0.0860546743497252,0.320560212557514,0.0206317529470349,0.0138289910391904,0.244845199709137
"lh_PHA1",5747.6947582348,4738.72926784206,4772.19109612542,5241.79820787585,1.07269202011663,0.568233266070082,0.319753814387966,0.0856660930691539,0.319079715657879,0.0208634467845833,0.0137773074864133,0.240859625307289
